,index,place name,reviewer,score,useravg,comment
0,45000,양양불떡볶이,ㅇㅇ,5.0,3.8,"오늘 떡볶이, 순대, 김밥, 튀김 먹었는데 아주아주 만족함. 떡볶이는 좀 달지만 옛날 분식떡볶이 맛이라 좋았고, 참치김밥 아주 훌륭했는데 순대가… 순대가 찐임. 여기 부속 허파 귀 간의 신선함이 이로 말 할 수가 없음. 튀김은 평범했다!
"
1,45000,양양불떡볶이,팩폭기철이,5.0,3.6,"맛있고 양도많이주시는데 왜 평점이 낮은건지..
"
2,45000,양양불떡볶이,진짜 나쁘거나 좋지 않은한 리뷰안함,1.0,2.8,
3,45000,양양불떡볶이,ㄷㄷ,3.0,2.9,
4,45000,양양불떡볶이,.Chloe,5.0,5.0,"이집은 김밥류 / 주먹밥류가 꼬소하고 진짜 맛남. 들기름인지 뭔지 밥양념이 고소하고 암튼 김밥 맛집임. 그리고 튀김도 먹을만함 
떡볶이가 조금 아쉽쓰.. 소스만 좀 개선된다면 좋겠어요. 튀김 찍어먹기에는 부족함 없음. 
사장님도 무척 친절하시고 근처 자생한방병원 입원실에도 배달 가능함. 별점 안타까워 후기 냄깁니다

"
5,45000,양양불떡볶이,◕ ᴥ ◕,1.0,3.2,"이 집 딱 한번 가봤는데 완전 별로였음. 포장해와서 먹었는데 이름값도 못한다. 불떡볶이래서 오랜만에 화끈한 맛 즐기려고 했는데 죠스보다 안매움. 진짜 싱겁더라. 나 매운거 잘 못먹는데 진짜 이름이 의아할정도로 밍밍했음. 그리고 튀김 1인분에 분명 김말이도 넣었는데 왜 야채만 2개 들어있냐. 전화해서 물어보니까 다른사람꺼랑 포장이 바뀌었다네? ㅋㅋㅋㅋㅋㅋㅋㅋ

"
6,45001,참좋은분식,빠꾸,1.0,4.2,"순대 오뎅 둘다 맛 너무 심하네요..
"
7,45001,참좋은분식,원할머니 보쌈,1.0,3.3,"겨울에 우연히 방문했다 떡볶이에 반해서 재방문 했습니다.
세트메뉴 먹었고 6000원입니다.

떡볶이: 진짜 맛있습니다. 약간 매콤합니다.
튀김: 무난
순대: 내장 비린내 진짜 심하고 끈적합니다. 순대에서 세제냄새 납니다.

*김밥은 저녁에 가면 없는 것 같습니다.

위생: 저세상 위생. 들어가면 식자재 널부러져있고 마스크 안 쓰시고 영업하십니다. 강아지 물 주는 건 좋은데 그때 끼고계셨던  면장갑으로 음식 만들어주십니다. 계란은 더운 날씨 밖에 방치되어있어서 상할까봐 걱정되고 남편분은 엉덩이 긁고 손 안 닦으시고 계란 까시더라구요..

먹고 맛있어서 노래까지 부르면서 재방문 했는데 아쉽습니다..ㅠ

"
8,45001,참좋은분식,.,1.0,3.7,"쉰내 나요 가지 마세요 음식관리가 아예 안됐네요 사장님 불친절
"
9,45001,참좋은분식,캐주얼큐,5.0,4.3,"떡볶이 소스맛 인정. 튀김 맛나는데 순대는 조금 약해요. 사진에 보이는 게 6,000원. 대박 나세요!
"
10,45001,참좋은분식,팔팔해,5.0,4.4,"여기 진짜진짜 맛잇어요 !!!!꼭드세요 꼭!!! 오랜만에 진짜 떡볶이다운 떡볶이를 먹을수 있어서 행복햇어여 ㅠㅠㅠㅠㅠㅠ또갈게여 사장님 오래해주세요!!
"
11,45001,참좋은분식,ㅎㅇ,5.0,3.7,"이집잘하네..
"
12,45001,참좋은분식,톰톰쥬스,5.0,5.0,"진짜맛있는 분식 떡볶이
더 유명해지면 좋겠다
"
13,45001,참좋은분식,이상욱,5.0,5.0,
14,45001,참좋은분식,이인철,5.0,5.0,"떡ㆍ순ㆍ튀가 참 마시쩡
"
15,45003,사자분식,ny,2.0,3.6,"ㅇ ㅏ...새우버거 빼고는 맛없구요...ㅇ ㅏ..맛은 둘째치고 퀄리티가 떨어져요.
"
16,45003,사자분식,JJ,1.0,2.3,"떡이 냉동떡이였는지 다 헤져있어요
크로켓 냉동맛 넘나그 별루에요
"
